ma_length,key_value,adaptive_atr_mult,tp1_rr_long,tp1_percent,tp2_rr_long,return,sharpe,max_dd,win_rate,trades,avg_trade,profit_factor
100,2.5,2.5,2.5,25,4.0,12.191447272393344,0.933750882811954,-8.749913503015538,66.66666666666666,12,9.212192524669849,3.9713399393850017
100,2.5,2.5,2.5,25,5.0,12.191447272393344,0.933750882811954,-8.749913503015538,66.66666666666666,12,9.212192524669849,3.9713399393850017
150,2.5,2.5,2.5,30,3.0,12.115586999047409,0.9531451760023911,-8.37251146024104,66.66666666666666,12,9.212192524669849,3.9713399393850017
150,2.5,2.5,2.5,25,5.0,12.191447272393344,0.933750882811954,-8.749913503015538,66.66666666666666,12,9.212192524669849,3.9713399393850017
150,2.5,2.5,2.5,25,4.0,12.191447272393344,0.933750882811954,-8.749913503015538,66.66666666666666,12,9.212192524669849,3.9713399393850017
150,2.5,2.5,2.5,25,3.0,12.191447272393344,0.933750882811954,-8.749913503015538,66.66666666666666,12,9.212192524669849,3.9713399393850017
150,2.5,2.5,2.5,20,5.0,12.796207986962454,0.959718880248894,-8.749913503015538,66.66666666666666,12,9.212192524669849,3.9713399393850017
150,2.5,2.5,2.5,20,4.0,12.796207986962454,0.959718880248894,-8.749913503015538,66.66666666666666,12,9.212192524669849,3.9713399393850017
150,2.5,2.5,2.5,20,3.0,12.796207986962454,0.959718880248894,-8.749913503015538,66.66666666666666,12,9.212192524669849,3.9713399393850017
150,2.5,2.5,2.5,30,5.0,12.115586999047409,0.9531451760023911,-8.37251146024104,66.66666666666666,12,9.212192524669849,3.9713399393850017
100,2.5,2.5,2.5,20,3.0,12.796207986962454,0.959718880248894,-8.749913503015538,66.66666666666666,12,9.212192524669849,3.9713399393850017
100,2.5,2.5,2.5,20,4.0,12.796207986962454,0.959718880248894,-8.749913503015538,66.66666666666666,12,9.212192524669849,3.9713399393850017
100,2.5,2.5,2.5,20,5.0,12.796207986962454,0.959718880248894,-8.749913503015538,66.66666666666666,12,9.212192524669849,3.9713399393850017
100,2.5,2.5,2.5,25,3.0,12.191447272393344,0.933750882811954,-8.749913503015538,66.66666666666666,12,9.212192524669849,3.9713399393850017
150,2.5,2.5,2.5,30,4.0,12.115586999047409,0.9531451760023911,-8.37251146024104,66.66666666666666,12,9.212192524669849,3.9713399393850017
100,2.5,2.5,2.5,30,3.0,12.115586999047409,0.9531451760023911,-8.37251146024104,66.66666666666666,12,9.212192524669849,3.9713399393850017
100,2.5,2.5,2.5,30,5.0,12.115586999047409,0.9531451760023911,-8.37251146024104,66.66666666666666,12,9.212192524669849,3.9713399393850017
200,2.5,2.5,2.5,20,3.0,12.796207986962454,0.959718880248894,-8.749913503015538,66.66666666666666,12,9.212192524669849,3.9713399393850017
200,2.5,2.5,2.5,30,5.0,12.115586999047409,0.9531451760023911,-8.37251146024104,66.66666666666666,12,9.212192524669849,3.9713399393850017
200,2.5,2.5,2.5,30,4.0,12.115586999047409,0.9531451760023911,-8.37251146024104,66.66666666666666,12,9.212192524669849,3.9713399393850017
200,2.5,2.5,2.5,30,3.0,12.115586999047409,0.9531451760023911,-8.37251146024104,66.66666666666666,12,9.212192524669849,3.9713399393850017
200,2.5,2.5,2.5,20,4.0,12.796207986962454,0.959718880248894,-8.749913503015538,66.66666666666666,12,9.212192524669849,3.9713399393850017
200,2.5,2.5,2.5,25,5.0,12.191447272393344,0.933750882811954,-8.749913503015538,66.66666666666666,12,9.212192524669849,3.9713399393850017
200,2.5,2.5,2.5,25,4.0,12.191447272393344,0.933750882811954,-8.749913503015538,66.66666666666666,12,9.212192524669849,3.9713399393850017
200,2.5,2.5,2.5,25,3.0,12.191447272393344,0.933750882811954,-8.749913503015538,66.66666666666666,12,9.212192524669849,3.9713399393850017
200,2.5,2.5,2.5,20,5.0,12.796207986962454,0.959718880248894,-8.749913503015538,66.66666666666666,12,9.212192524669849,3.9713399393850017
100,2.5,2.5,2.5,30,4.0,12.115586999047409,0.9531451760023911,-8.37251146024104,66.66666666666666,12,9.212192524669849,3.9713399393850017
150,2.5,2.5,2.0,25,5.0,13.338984437393172,0.9672662476060767,-8.759399594610063,70.0,10,8.207821657570191,3.662687385818309
150,2.5,2.5,2.0,30,5.0,13.203559214187607,0.9822135690661243,-8.386204904416738,70.0,10,8.207821657570191,3.662687385818309
150,2.5,2.5,2.0,30,4.0,13.203559214187607,0.9822135690661243,-8.386204904416738,70.0,10,8.207821657570191,3.662687385818309
150,2.5,2.5,2.0,30,3.0,13.203559214187607,0.9822135690661243,-8.386204904416738,70.0,10,8.207821657570191,3.662687385818309
150,2.5,2.5,2.0,20,5.0,13.90945551518249,0.995843048433824,-8.759399594610063,70.0,10,8.207821657570191,3.662687385818309
150,2.5,2.5,2.0,25,4.0,13.338984437393172,0.9672662476060767,-8.759399594610063,70.0,10,8.207821657570191,3.662687385818309
150,2.5,2.5,2.0,25,3.0,13.338984437393172,0.9672662476060767,-8.759399594610063,70.0,10,8.207821657570191,3.662687385818309
150,2.5,2.5,2.0,20,3.0,13.90945551518249,0.995843048433824,-8.759399594610063,70.0,10,8.207821657570191,3.662687385818309
100,2.5,2.5,2.0,20,3.0,13.90945551518249,0.995843048433824,-8.759399594610063,70.0,10,8.207821657570191,3.662687385818309
100,2.5,2.5,2.0,20,4.0,13.90945551518249,0.995843048433824,-8.759399594610063,70.0,10,8.207821657570191,3.662687385818309
100,2.5,2.5,2.0,20,5.0,13.90945551518249,0.995843048433824,-8.759399594610063,70.0,10,8.207821657570191,3.662687385818309
