ma_length,key_value,adaptive_atr_mult,tp1_rr_long,tp1_percent,return,sharpe,max_dd,win_rate,trades,profit_factor
200,2.0,2.0,1.5,25,35.65336120098664,1.2121399369027015,-9.708803094664642,66.66666666666666,48,2.8129428930096143
200,1.5,2.0,0.5,25,34.755662836016,1.3641248143171174,-10.125067969450729,66.17647058823529,68,2.645863267234594
250,2.5,2.0,0.5,45,34.59828591639494,1.4620442040099404,-7.667723868602638,70.6896551724138,58,2.8803986387605276
200,2.5,2.0,0.5,45,34.139861012204875,1.429613955536561,-7.694774195848375,70.0,60,2.7152215273789273
250,2.5,2.0,0.5,35,34.11777862152319,1.4092302509726744,-7.734345003477849,70.6896551724138,58,2.8803986387605276
250,2.0,2.0,1.0,25,33.48658672344322,1.2686328315822533,-9.612740069375459,66.66666666666666,51,2.586799895763124
250,2.5,2.0,0.5,25,33.17309430290006,1.348895377725485,-7.636117616818305,70.6896551724138,58,2.8803986387605276
200,2.0,2.0,0.5,25,32.77786627117705,1.305268667641877,-9.694191092171655,67.74193548387096,62,2.5800027284605993
250,2.0,2.0,1.0,35,32.77298831439648,1.2749881330394668,-9.650537125039815,66.66666666666666,51,2.586799895763124
200,2.5,2.0,0.5,35,32.657924861504775,1.359216492427644,-7.625921937184376,70.0,60,2.7152215273789273
200,1.5,2.0,1.5,45,32.40564519500302,1.182604772719272,-11.745576285170944,64.15094339622641,53,2.6281227577223008
200,2.0,2.0,0.5,35,32.31290393238616,1.3209884766596942,-9.670129442567754,67.74193548387096,62,2.5800027284605993
200,2.0,2.0,0.5,45,32.23913931268535,1.338894266647736,-9.628403864444513,67.74193548387096,62,2.5800027284605993
200,1.5,2.0,1.5,35,32.104451778270196,1.167391764499469,-11.629804887846195,64.15094339622641,53,2.6281227577223008
150,2.0,2.0,1.5,45,32.086488012695376,1.1379033056257761,-10.648164117528724,64.58333333333334,48,2.3528977091251395
150,2.0,2.0,1.5,35,31.97517205004888,1.1294555773360113,-10.62177559870342,64.58333333333334,48,2.3528977091251395
200,2.5,2.0,0.5,25,31.720146596357118,1.2827678869028853,-7.723928329728502,70.0,60,2.7152215273789273
200,1.5,2.0,1.5,25,31.5989631156573,1.1484959638837653,-11.611494150501445,64.15094339622641,53,2.6281227577223008
150,2.0,2.0,1.5,25,31.265315856109684,1.103056271745488,-10.792440299181017,64.58333333333334,48,2.3528977091251395
150,1.5,2.0,0.5,45,31.123537355649805,1.4356303230709941,-13.60457889597223,65.21739130434783,69,2.2157275392238023
250,2.0,2.0,1.0,45,30.991436071385053,1.2408854189584855,-9.659940107817434,66.66666666666666,51,2.586799895763124
150,2.5,2.0,1.5,45,30.19717027748111,1.1047623219615295,-7.747505358216311,64.44444444444444,45,2.5322840301650302
250,1.5,2.0,1.0,25,30.081544757494267,1.1740396703874985,-11.521486246275604,64.91228070175438,57,2.5886546853868597
250,1.5,2.0,1.0,35,29.682997690462383,1.1688827512753845,-11.547264415648318,64.91228070175438,57,2.5886546853868597
150,2.5,2.0,0.5,45,29.386641500178772,1.4121661286793388,-7.578979669789798,71.1864406779661,59,2.6203877659503054
250,1.5,2.0,1.0,45,29.169755574755037,1.158151506771871,-11.671063584750662,64.91228070175438,57,2.5886546853868597
150,2.5,2.0,1.5,35,29.023995741790788,1.0665863497607166,-8.304991436518083,64.44444444444444,45,2.5322840301650307
150,1.5,2.0,0.5,35,28.39170535748726,1.3170413050697396,-14.696181337213577,65.21739130434783,69,2.2157275392238023
